"","ROI_lvl2","r1","r2","direct","indirect","total"
"1","lh_occipital","0.0186***","1.0367**","0.2349***","0.0193**","0.2542***"
"2","lh_temporal","0.0179***","1.5871***","0.2258***","0.0284***","0.2542***"
"3","rh_occipital","0.0216***","0.7994*","0.2370***","0.0173*","0.2542***"
"4","rh_temporal","0.0200***","1.4769***","0.2247***","0.0295***","0.2542***"
"5","lh_parietal","0.0173**","0.9553**","0.2377***","0.0165**","0.2542***"
"6","rh_parietal","0.0166**","0.6708*","0.2431***","0.0111*","0.2542***"
