"","ROI_lvl2","r1","r2","direct","indirect","total"
"1","lh_occipital","0.0187***","0.7536*","0.1959***","0.0141.","0.2100***"
"2","lh_temporal","0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"3","rh_occipital","0.0216***","0.5108 ","0.1990**","0.0110 ","0.2100***"
"4","rh_temporal","0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"5","rh_parietal","0.0159**","0.7418.","0.1982***","0.0118*","0.2100***"
"6","lh_parietal","0.0146**","0.5808 ","0.2015***","0.0085 ","0.2100***"
"7","lh_frontal","0.0133*","0.7933*","0.1994***","0.0106*","0.2100***"
