"","ROI_lvl2","r1","r2","direct","indirect","total"
"1","lh_occipital","0.0207***","0.6803*","0.1129*","0.0141*","0.1270*"
"2","lh_temporal","0.0179***","1.1954**","0.1056.","0.0214***","0.1270*"
"3","rh_occipital","0.0229***","0.8398*","0.1078.","0.0192**","0.1270*"
"4","rh_temporal","0.0197***","1.0937**","0.1055.","0.0215**","0.1270*"
"5","rh_parietal","0.0162**","0.5623 ","0.1179*","0.0091 ","0.1270*"
"6","lh_subcortical","0.0141*","0.9103**","0.1141*","0.0129*","0.1270*"
"7","rh_subcortical","0.0153*","0.7372*","0.1157*","0.0113*","0.1270*"
