"","ROI_lvl2","r1","r2","direct","indirect","total"
"1","lh_occipital","0.0216***","0.8220*","0.1922***","0.0178**","0.2100***"
"2","lh_temporal","0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"3","rh_occipital","0.0277***","0.5059.","0.1960***","0.0140.","0.2100***"
"4","rh_temporal","0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
