"","ROI_lvl2","ROI_lvl1","p_2min1","p_ravlt1","r1","r2","direct","indirect","total"
"1","lh_temporal","lh_temporalpole",0.999916666666667,0.993666666666667,"0.0093 ","1.1797***","0.1161.","0.0110.","0.1270*"
"2","lh_temporal","lh_parahippocampal",0.99875,0.990666666666667,"0.0093 ","1.1797***","0.1161.","0.0110.","0.1270*"
"3","rh_occipital","rh_cuneus",1,0.991666666666667,"0.0221***","0.8867**","0.1074.","0.0196**","0.1270*"
"4","rh_occipital","rh_lateraloccipital",1,0.99625,"0.0221***","0.8867**","0.1074.","0.0196**","0.1270*"
"5","rh_occipital","rh_lingual",1,0.995166666666667,"0.0221***","0.8867**","0.1074.","0.0196**","0.1270*"
"6","rh_occipital","rh_precuneus_parietal",1,0.990083333333333,"0.0221***","0.8867**","0.1074.","0.0196**","0.1270*"
"7","rh_temporal","rh_temporalpole",1,0.996166666666667,"0.0174***","1.3080***","0.1042.","0.0228***","0.1270*"
"8","rh_temporal","rh_transversetemporal",0.999916666666667,0.990833333333333,"0.0174***","1.3080***","0.1042.","0.0228***","0.1270*"
"9","rh_temporal","rh_parahippocampal",0.9995,0.995416666666667,"0.0174***","1.3080***","0.1042.","0.0228***","0.1270*"
