"","ROI_lvl2","r1","r2","direct","indirect","total"
"1","rh_occipital","0.0221***","0.8867**","0.1074.","0.0196**","0.1270*"
"2","rh_temporal","0.0174***","1.3080***","0.1042.","0.0228***","0.1270*"
"3","lh_temporal","0.0093 ","1.1797***","0.1161.","0.0110.","0.1270*"
